course_id,course_description,course_author,categories,section_id,section_title,section_description,URL,course_title,course_image
how-to-make-uk-garage-with-petey-clicks,"Learn how to make UK Garage from one of the best electronic music instructors in the world, Petey Clicks.

Petey covers sound design, arrangement, mastering, and more. When you've finished taking this course on making UKG, you'll have the skills and techniques needed to make unique and hard-hitting tracks of your own.",Petey Clicks,English,how-t_introduction,Introduction,Find out what you'll be learning in this course on making UK Garage.,https://learn.futureproofmusicschool.com/path-player?courseid=how-to-make-uk-garage-with-petey-clicks,How to Make UK Garage with Petey Clicks,https://lwfiles.mycourse.app/665654f31f5cf76488be6bbc-public/8272e6f3cc6155f74386f71f012ed72c.png
how-to-make-uk-garage-with-petey-clicks,"Learn how to make UK Garage from one of the best electronic music instructors in the world, Petey Clicks.

Petey covers sound design, arrangement, mastering, and more. When you've finished taking this course on making UKG, you'll have the skills and techniques needed to make unique and hard-hitting tracks of your own.",Petey Clicks,Ableton,how-t_introduction__6862a5a7e8a48,Drum Selection & Programming,Learn about selecting the right drums and how to program them for your Garage track.,https://learn.futureproofmusicschool.com/path-player?courseid=how-to-make-uk-garage-with-petey-clicks,How to Make UK Garage with Petey Clicks,https://lwfiles.mycourse.app/665654f31f5cf76488be6bbc-public/8272e6f3cc6155f74386f71f012ed72c.png
how-to-make-uk-garage-with-petey-clicks,"Learn how to make UK Garage from one of the best electronic music instructors in the world, Petey Clicks.

Petey covers sound design, arrangement, mastering, and more. When you've finished taking this course on making UKG, you'll have the skills and techniques needed to make unique and hard-hitting tracks of your own.",Petey Clicks,Sound Design,how-t_introduction__6862a5d4b605c,Chords & Melody,Learn about writing the chords and melody for your Garage track.,https://learn.futureproofmusicschool.com/path-player?courseid=how-to-make-uk-garage-with-petey-clicks,How to Make UK Garage with Petey Clicks,https://lwfiles.mycourse.app/665654f31f5cf76488be6bbc-public/8272e6f3cc6155f74386f71f012ed72c.png
how-to-make-uk-garage-with-petey-clicks,"Learn how to make UK Garage from one of the best electronic music instructors in the world, Petey Clicks.

Petey covers sound design, arrangement, mastering, and more. When you've finished taking this course on making UKG, you'll have the skills and techniques needed to make unique and hard-hitting tracks of your own.",Petey Clicks,Genres,how-t_introduction__6862a5e0b12a2,Basses & Sound Design,Learn about bass sound design and arrangement for your Garage track.,https://learn.futureproofmusicschool.com/path-player?courseid=how-to-make-uk-garage-with-petey-clicks,How to Make UK Garage with Petey Clicks,https://lwfiles.mycourse.app/665654f31f5cf76488be6bbc-public/8272e6f3cc6155f74386f71f012ed72c.png
how-to-make-uk-garage-with-petey-clicks,"Learn how to make UK Garage from one of the best electronic music instructors in the world, Petey Clicks.

Petey covers sound design, arrangement, mastering, and more. When you've finished taking this course on making UKG, you'll have the skills and techniques needed to make unique and hard-hitting tracks of your own.",Petey Clicks,,how-t_introduction__6862a5f04a9a4,Adding Vocals,Learn about finding and choosing the right vocal for your Garage track.,https://learn.futureproofmusicschool.com/path-player?courseid=how-to-make-uk-garage-with-petey-clicks,How to Make UK Garage with Petey Clicks,https://lwfiles.mycourse.app/665654f31f5cf76488be6bbc-public/8272e6f3cc6155f74386f71f012ed72c.png
how-to-make-uk-garage-with-petey-clicks,"Learn how to make UK Garage from one of the best electronic music instructors in the world, Petey Clicks.

Petey covers sound design, arrangement, mastering, and more. When you've finished taking this course on making UKG, you'll have the skills and techniques needed to make unique and hard-hitting tracks of your own.",Petey Clicks,,how-t_introduction__6862a5f8caa9b,Arrangement,,https://learn.futureproofmusicschool.com/path-player?courseid=how-to-make-uk-garage-with-petey-clicks,How to Make UK Garage with Petey Clicks,https://lwfiles.mycourse.app/665654f31f5cf76488be6bbc-public/8272e6f3cc6155f74386f71f012ed72c.png
how-to-make-uk-garage-with-petey-clicks,"Learn how to make UK Garage from one of the best electronic music instructors in the world, Petey Clicks.

Petey covers sound design, arrangement, mastering, and more. When you've finished taking this course on making UKG, you'll have the skills and techniques needed to make unique and hard-hitting tracks of your own.",Petey Clicks,,how-t_introduction__6862a6087646e,Build-up,Construct your build-up and create energy in your track.,https://learn.futureproofmusicschool.com/path-player?courseid=how-to-make-uk-garage-with-petey-clicks,How to Make UK Garage with Petey Clicks,https://lwfiles.mycourse.app/665654f31f5cf76488be6bbc-public/8272e6f3cc6155f74386f71f012ed72c.png
how-to-make-uk-garage-with-petey-clicks,"Learn how to make UK Garage from one of the best electronic music instructors in the world, Petey Clicks.

Petey covers sound design, arrangement, mastering, and more. When you've finished taking this course on making UKG, you'll have the skills and techniques needed to make unique and hard-hitting tracks of your own.",Petey Clicks,,how-t_introduction__6862a6150a856,Mastering and Finishing your Track,Wrap up your track by learning about mastering and finishing touches.,https://learn.futureproofmusicschool.com/path-player?courseid=how-to-make-uk-garage-with-petey-clicks,How to Make UK Garage with Petey Clicks,https://lwfiles.mycourse.app/665654f31f5cf76488be6bbc-public/8272e6f3cc6155f74386f71f012ed72c.png
how-to-make-uk-garage-with-petey-clicks,"Learn how to make UK Garage from one of the best electronic music instructors in the world, Petey Clicks.

Petey covers sound design, arrangement, mastering, and more. When you've finished taking this course on making UKG, you'll have the skills and techniques needed to make unique and hard-hitting tracks of your own.",Petey Clicks,,how-t_submit_your_project__687fa4e6777a9,Final Project,Create your own UK Garage track to get feedback.,https://learn.futureproofmusicschool.com/path-player?courseid=how-to-make-uk-garage-with-petey-clicks,How to Make UK Garage with Petey Clicks,https://lwfiles.mycourse.app/665654f31f5cf76488be6bbc-public/8272e6f3cc6155f74386f71f012ed72c.png
keys-for-producers,Learning how to develop your internal rhythm and play the keyboard in a variety of genres will unlock the versatility of playing any virtual instrument you want! In this course you'll learn all the music theory and keyboard skills you need to start breathing life and individuality into your productions.,,Music Theory,keys-_using_middy,Keys for Producers,,https://learn.futureproofmusicschool.com/path-player?courseid=keys-for-producers,Keys for Producers,https://lwfiles.mycourse.app/665654f31f5cf76488be6bbc-public/e15dbd676ba916cecdc2cfc4cf55ea78.jpg
keys-for-producers,Learning how to develop your internal rhythm and play the keyboard in a variety of genres will unlock the versatility of playing any virtual instrument you want! In this course you'll learn all the music theory and keyboard skills you need to start breathing life and individuality into your productions.,,Performance,,,,https://learn.futureproofmusicschool.com/path-player?courseid=keys-for-producers,Keys for Producers,https://lwfiles.mycourse.app/665654f31f5cf76488be6bbc-public/e15dbd676ba916cecdc2cfc4cf55ea78.jpg
ableton-live-basics,"Master the fundamentals of Ableton Live with this comprehensive crash course. Learn to navigate the interface, create beats, melodies, and basslines, and arrange your tracks into complete songs. You'll also cover essential mixing and mastering techniques to achieve a professional, release-ready sound.",Steve Nalepa,,ablet_introduction__67cf148d03e02,Introduction,This course provides a comprehensive introduction to Ableton Live. Master the fundamentals of Live and discover creative songwriting strategies to streamline your workflow and confidently bring your musical ideas to life. Familiarize yourself with the Ableton Live interface and basic functionality.,https://learn.futureproofmusicschool.com/path-player?courseid=ableton-live-basics,Learn Ableton Live: Basics,https://lwfiles.mycourse.app/665654f31f5cf76488be6bbc-public/50b82dcee87c3d44497694e8135748a0.png
ableton-live-basics,"Master the fundamentals of Ableton Live with this comprehensive crash course. Learn to navigate the interface, create beats, melodies, and basslines, and arrange your tracks into complete songs. You'll also cover essential mixing and mastering techniques to achieve a professional, release-ready sound.",Steve Nalepa,,ablet_music_production_basics_creating_your_first_project__67cf148dd09b4,Writing: Crafting Beats,"Transform your musical ideas into finished tracks! This course covers the complete music composition process: writing, arranging, and mixing in Ableton Live. Learn to develop strong melodies and rhythms, build dynamic arrangements, and create professional-sounding mixes. We'll use an iterative process to maximize your creative output. Start by creating a custom Drum Rack and programming your first beat.",https://learn.futureproofmusicschool.com/path-player?courseid=ableton-live-basics,Learn Ableton Live: Basics,https://lwfiles.mycourse.app/665654f31f5cf76488be6bbc-public/50b82dcee87c3d44497694e8135748a0.png
ableton-live-basics,"Master the fundamentals of Ableton Live with this comprehensive crash course. Learn to navigate the interface, create beats, melodies, and basslines, and arrange your tracks into complete songs. You'll also cover essential mixing and mastering techniques to achieve a professional, release-ready sound.",Steve Nalepa,,ablet_writing_melodies_and_basslines__67cf148e1d964,"Writing: Chord Progressions, Basslines and Melodies","Learn to write and edit chord progressions, basslines, and melodies in Ableton Live. Master essential MIDI editing techniques and enhance your music production skills with precise note adjustments and creative timing. Further develop your track by adding melodies and basslines to your drum beat.",https://learn.futureproofmusicschool.com/path-player?courseid=ableton-live-basics,Learn Ableton Live: Basics,https://lwfiles.mycourse.app/665654f31f5cf76488be6bbc-public/50b82dcee87c3d44497694e8135748a0.png
